month,growmonth,parent.pop,elevation.group,elev_m,PckSum,Lat,Long,year,cwd,pck,ppt,tmn,tmx,AvgFirstMonth,AvgLastMonth
11,3,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1965,32.95,0,210.99,4.88,15.57,2,12
12,4,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1965,17.6,0,171.62,-0.5,10.64,2,12
1,5,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1965,15.64,0,247.65,1.62,11.06,2,12
2,6,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1965,27.92,0,39.94,1.37,15.45,2,12
3,7,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1965,40.88,0,80.77,3.91,16.26,2,12
4,8,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1965,21.58,0,172.94,6.36,17.06,2,12
5,9,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1965,51.07,0,4.14,8.05,24.29,2,12
6,10,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1965,53.7,0,1.82,10.26,26.15,2,12
7,11,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1965,70.09,0,0.02,14.17,32.55,2,12
8,12,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1965,39.85,0,23.21,14.76,31.5,2,12
11,3,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1965,37.05,0,158.11,5.68,17.22,2,10
12,4,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1965,20.49,0,127.04,0.29,10.72,2,10
1,5,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1965,20.04,0,131.05,2.52,11.76,2,10
2,6,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1965,32.37,0,29.92,1.93,15.55,2,10
3,7,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1965,47.38,0,65.36,4.2,16.73,2,10
4,8,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1965,36.05,0,125.78,6.95,17.84,2,10
5,9,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1965,68.28,0,2.09,7.85,25.12,2,10
6,10,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1965,91.02,0,2.09,9.9,27.22,2,10
11,3,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1965,29,0,247.65,6.36,16.25,2,10
12,4,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1965,17.42,0,128.15,0.56,10.37,2,10
1,5,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1965,6.95,0,288.53,2.98,11.71,2,10
2,6,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1965,1.66,0,38.67,2.61,16.19,2,10
3,7,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1965,26.73,0,63.95,5.02,17.51,2,10
4,8,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1965,0,0,174.96,7.9,18.42,2,10
5,9,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1965,81.48,0,9.19,9.58,25.53,2,10
6,10,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1965,106.59,0,4.24,11.84,27.98,2,10
11,3,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1966,47.51,0,104.2,6.02,19.15,2,10
12,4,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1966,27.04,0,149.34,2.2,11.29,2,10
1,5,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1966,28.1,0,38.59,-0.22,12.89,2,10
2,6,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1966,39.62,0,33.88,0.87,13.39,2,10
3,7,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1966,58.93,0,8.37,4.24,18.38,2,10
4,8,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1966,75.29,0,15.01,6.54,24.43,2,10
5,9,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1966,75.79,0,11.47,9.84,27.95,2,10
6,10,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1966,98.13,0,0.46,12.64,30.99,2,10
11,3,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1966,30.88,0,291.11,6.83,17.59,2,10
12,4,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1966,18.86,0,177.05,3.14,11.95,2,10
1,5,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1966,19.57,0,166.53,1.77,12.71,2,10
2,6,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1966,30.57,0,100.19,1.89,13.64,2,10
3,7,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1966,49.97,0,42.1,5.01,18.04,2,10
4,8,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1966,71.53,0,40.03,9.29,24.91,2,10
5,9,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1966,72.23,0,5.92,11.83,27.89,2,10
6,10,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1966,89.37,0,1.1,14.16,31.19,2,10
11,3,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1966,35.7,0,276.47,5.04,16.64,2,12
12,4,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1966,17.54,0,193.16,1.86,11.64,2,12
1,5,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1966,18.55,0,122.27,0.18,11.54,2,12
2,6,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1966,26.5,0,94.26,0.76,12.35,2,12
3,7,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1966,40.65,0,59.68,3.18,16.54,2,12
4,8,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1966,61.19,0,50.77,7.66,23.66,2,12
5,9,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1966,53.02,0,12.11,9.85,26.41,2,12
6,10,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1966,56.28,0,0.9,12.38,29.45,2,12
7,11,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1966,0,0,1.14,14.36,31.6,2,12
8,12,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1966,143.08,0,0.01,15.57,34.11,2,12
11,3,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1966,39.9,0,156.34,6.28,18.21,2,10
12,4,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1966,21.99,0,151.09,2.88,11.29,2,10
1,5,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1966,22.59,0,80.05,0.52,12.88,2,10
2,6,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1966,31.19,0,65.28,1.2,13.57,2,10
3,7,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1966,48.15,0,21.55,4.24,17.97,2,10
4,8,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1966,71.74,0,27.15,7.51,24.32,2,10
5,9,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1966,74.73,0,8.04,9.5,27.56,2,10
6,10,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1966,102.12,0,0,12.19,31,2,10
11,3,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1966,27.27,0,320.86,6.55,17.04,2,10
12,4,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1966,13.66,0,200.03,2.8,11.79,2,10
1,5,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1966,20.17,0,187.42,1.46,12.22,2,10
2,6,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1966,19.82,0,109.88,1.45,13.09,2,10
3,7,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1966,31.17,0,47.85,4.55,17.49,2,10
4,8,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1966,52.76,0,47.23,8.89,24.41,2,10
5,9,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1966,92.94,0,6.12,11.57,27.48,2,10
6,10,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1966,110.64,0,1.45,13.78,30.64,2,10
11,3,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1967,48.03,0,62.58,6.24,20.16,2,10
12,4,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1967,27.96,0,73.47,-1.37,11.71,2,10
1,5,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1967,25.66,0,124.84,1.43,13.29,2,10
2,6,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1967,40.75,0,19.95,1.72,14.41,2,10
3,7,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1967,46.53,0,134.97,3.57,15.72,2,10
4,8,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1967,34.97,0,201.83,2.59,13.42,2,10
5,9,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1967,39.55,0,16.94,8.11,25.03,2,10
6,10,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1967,34.81,0,17.21,11.07,28.49,2,10
11,3,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1967,33.42,0,101.51,6.96,20.08,2,10
12,4,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1967,19.89,0,108.01,0.66,13.63,2,10
1,5,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1967,17.66,0,353.27,2.65,13.42,2,10
2,6,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1967,32.21,0,36.56,3.21,16.37,2,10
3,7,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1967,46.02,0,168.76,4.43,15.77,2,10
4,8,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1967,32.15,0,205.06,3.86,12.63,2,10
5,9,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1967,70.15,0,18.85,10.33,26.08,2,10
6,10,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1967,28.68,0,51.28,13.32,28.58,2,10
11,3,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1967,32.63,0,96.84,6.39,18.56,2,12
12,4,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1967,18.9,0,135.57,-0.88,11.45,2,12
1,5,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1967,15.97,0,340.91,1.67,12.64,2,12
2,6,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1967,28.14,0,34.37,1.85,15.52,2,12
3,7,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1967,27.26,0,234.16,2.94,14.31,2,12
4,8,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1967,18.88,0,223.51,2.42,10.89,2,12
5,9,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1967,51.74,0,24.68,8.94,24.74,2,12
6,10,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1967,0,0,50.23,11.78,26.78,2,12
7,11,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1967,72.09,0,0,16.71,35.11,2,12
8,12,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1967,90.84,0,0,17.94,36.23,2,12
11,3,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1967,38.99,0,79.03,6.91,19.63,2,10
12,4,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1967,22.95,0,86.95,0.17,11.56,2,10
1,5,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1967,19.88,0,242.13,2.09,12.79,2,10
2,6,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1967,32.13,0,25.42,2.09,14.83,2,10
3,7,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1967,39.44,0,150.23,3.58,15.24,2,10
4,8,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1967,32.04,0,230.4,3.05,12.4,2,10
5,9,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1967,69.03,0,20.61,8.81,25.34,2,10
6,10,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1967,28.92,0,28.74,11.49,28.06,2,10
11,3,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1967,33.94,0,113.65,6.61,19.61,2,10
12,4,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1967,18.34,0,121.89,0.27,13.16,2,10
1,5,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1967,9.21,0,390.36,2.43,13.09,2,10
2,6,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1967,6.02,0,39.45,2.99,16.21,2,10
3,7,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1967,0,0,190.83,3.92,15.17,2,10
4,8,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1967,0,0,223.95,3.26,12.03,2,10
5,9,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1967,0,0,23.84,9.81,25.58,2,10
6,10,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1967,0,0,54.82,12.97,28.1,2,10
11,3,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1968,41.91,0,87.54,4.64,15.76,2,10
12,4,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1968,26.19,0,136.7,0.5,11.56,2,10
1,5,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1968,28.71,0,58.54,-0.35,12.92,2,10
2,6,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1968,44.73,0,68.18,5.55,17.1,2,10
3,7,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1968,59.13,0,62.1,4.02,18.12,2,10
4,8,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1968,72.15,0,19.17,4.45,22.03,2,10
5,9,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1968,73.74,0,20.71,7.9,25.67,2,10
6,10,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1968,101.1,0,0,13.08,32.66,2,10
11,3,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1968,28.8,0,139.44,5.32,15.82,2,10
12,4,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1968,17.65,0,232.97,1.38,10.59,2,10
1,5,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1968,18.51,0,216.19,0.57,12.43,2,10
2,6,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1968,33.34,0,161.73,6.45,16.89,2,10
3,7,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1968,50.66,0,107.72,5.26,18.91,2,10
4,8,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1968,68.36,0,9.95,6.61,23.07,2,10
5,9,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1968,68.91,0,21.98,8.85,25.54,2,10
6,10,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1968,90.05,0,9.69,13.7,32.57,2,10
11,3,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1968,27.35,0,175.68,4.37,15.13,2,12
12,4,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1968,16.52,17.8,229.79,-0.08,9.98,2,12
1,5,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1968,18.49,0,184.34,0.12,11.69,2,12
2,6,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1968,29.34,0,158.8,5.13,15.52,2,12
3,7,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1968,41.86,0,112.25,4.43,17.7,2,12
4,8,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1968,58.28,0,12.64,5,21.7,2,12
5,9,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1968,51.07,0,22.99,8.14,23.95,2,12
6,10,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1968,57.09,0,10.32,12.31,30.83,2,12
7,11,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1968,72.94,0,0,15.62,33.98,2,12
8,12,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1968,55.65,0,24.52,13.48,29.65,2,12
11,3,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1968,35.21,0,136.24,5.28,16,2,10
12,4,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1968,20.79,0,145.18,1.04,10.98,2,10
1,5,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1968,22.77,0,134.8,0.55,12.04,2,10
2,6,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1968,34.49,0,99.11,5.84,16.75,2,10
3,7,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1968,48.8,0,84.61,4.85,18.43,2,10
4,8,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1968,68.33,0,16.8,5.69,21.94,2,10
5,9,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1968,72.63,0,22.67,8.23,24.96,2,10
6,10,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1968,98.83,0,2.7,12.77,32.34,2,10
11,3,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1968,26.24,0,148.91,4.95,15.38,2,10
12,4,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1968,10.3,6.04,263.4,0.93,10.07,2,10
1,5,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1968,19.07,0,241.75,0.27,12.14,2,10
2,6,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1968,21.03,0,176.25,5.95,16.45,2,10
3,7,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1968,31.57,0,120.41,4.68,18.35,2,10
4,8,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1968,50.38,0,11.34,6.1,22.57,2,10
5,9,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1968,88.23,0,25.89,8.31,25.03,2,10
6,10,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1968,111.45,0,9.57,13.26,32.06,2,10
11,3,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1969,42.93,0,49.82,3.02,19.38,2,10
12,4,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1969,30.09,0,77.86,1.66,14.89,2,10
1,5,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1969,25.19,0,320.83,2.43,11.07,2,10
2,6,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1969,35.41,0,221.34,2.07,11.77,2,10
3,7,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1969,46.2,0,81.34,2.9,16.05,2,10
4,8,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1969,39.03,0,73.6,5.06,19.64,2,10
5,9,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1969,73.78,0,2.73,9.12,26.8,2,10
6,10,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1969,93.37,0,4.9,11.79,28.41,2,10
11,3,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1969,32.59,0,56.66,5.1,20.08,2,10
12,4,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1969,19.46,0,340.89,4.44,14.18,2,10
1,5,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1969,16.69,21.43,415.36,1.85,10.4,2,10
2,6,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1969,26.72,0,281.32,2.86,10.84,2,10
3,7,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1969,48.92,0,66.31,3.78,17.54,2,10
4,8,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1969,62.84,0,81.78,6.11,19.98,2,10
5,9,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1969,71.65,0,0,10.84,27.92,2,10
6,10,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1969,83.27,0,14.41,13.03,28.44,2,10
11,3,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1969,31.65,0,74.45,3.49,18.98,2,12
12,4,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1969,19.13,0,297.95,2.78,13.05,2,12
1,5,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1969,15.31,106.72,528.8599,1.05,10.23,2,12
2,6,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1969,19.69,129.46,301.19,1.14,9.35,2,12
3,7,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1969,39.67,0,78.08,2.27,15.59,2,12
4,8,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1969,39.98,0,107.72,4.53,18.54,2,12
5,9,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1969,52.14,0,0.53,8.62,25.87,2,12
6,10,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1969,54.3,0,8.52,11.21,26.35,2,12
7,11,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1969,0,0,1.18,14.71,33.63,2,12
8,12,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1969,137.43,0,0,14.28,34.54,2,12
11,3,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1969,36.65,0,71.38,4.49,18.94,2,10
12,4,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1969,23.89,0,172.37,3.19,13.92,2,10
1,5,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1969,19.31,0,344.82,2.19,10.74,2,10
2,6,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1969,24.94,0,214.84,2.32,10.99,2,10
3,7,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1969,45.44,0,75.04,3.26,16.53,2,10
4,8,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1969,47.54,0,89.65,5.43,19.67,2,10
5,9,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1969,70.55,0,0.71,9.3,27.22,2,10
6,10,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1969,94.35,0,4.22,11.67,28.04,2,10
11,3,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1969,32.82,0,63.61,4.94,19.71,2,10
12,4,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1969,15.83,0,382.63,4.1,13.78,2,10
1,5,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1969,3.81,61.38,463.92,1.49,10.02,2,10
2,6,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1969,0,30.52,311.75,2.34,10.25,2,10
3,7,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1969,0,0,69.81,3.28,16.98,2,10
4,8,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1969,0,0,91.74,5.61,19.52,2,10
5,9,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1969,65.11,0,0.25,10.45,27.54,2,10
6,10,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1969,80.47,0,16.15,12.69,27.95,2,10
11,3,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1970,46.43,0,135.84,5.22,18.65,2,10
12,4,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1970,26.5,0,134.47,1.7,11.66,2,10
1,5,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1970,27.28,0,191.04,2.76,14.69,2,10
2,6,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1970,43.09,0,48.9,3.19,17.15,2,10
3,7,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1970,57.82,0,80.68,3.52,17.52,2,10
4,8,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1970,67.14,0,15.62,2.22,18.69,2,10
5,9,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1970,74.26,0,0,8.64,27.45,2,10
6,10,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1970,37.6,0,34.95,13.32,30.69,2,10
11,3,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1970,30.21,0,269.58,7.1,16.79,2,10
12,4,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1970,17.95,0,281.53,2.99,10.22,2,10
1,5,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1970,18.26,0,456.52,5.28,13.29,2,10
2,6,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1970,33.25,0,87.2,4.87,17.2,2,10
3,7,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1970,50.59,0,103.2,5.25,18.8,2,10
4,8,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1970,64.18,0,21.11,4.55,19.37,2,10
5,9,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1970,71.28,0,2.7,11.02,27.11,2,10
6,10,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1970,29.66,0,23.79,14.11,30.82,2,10
11,3,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1970,28.68,0,286.71,5.84,15.83,2,12
12,4,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1970,16.58,27.89,345.17,1.58,9.04,2,12
