parent.pop,elevation.group,elev_m,timeframe,year,month,grwssn_length,cwd,pck,ppt,tmn,tmx
BH,low,511.4294422,historic,1969,2,8,35.41,0,221.34,2.07,11.77
BH,low,511.4294422,historic,1969,3,8,46.2,0,81.34,2.9,16.05
BH,low,511.4294422,historic,1969,4,8,39.03,0,73.6,5.06,19.64
BH,low,511.4294422,historic,1969,5,8,73.78,0,2.73,9.12,26.8
BH,low,511.4294422,historic,1969,6,8,93.37,0,4.9,11.79,28.41
BH,low,511.4294422,historic,1970,11,9,42.93,0,49.82,3.02,19.38
BH,low,511.4294422,historic,1970,12,9,30.09,0,77.86,1.66,14.89
BH,low,511.4294422,historic,1970,1,9,27.28,0,191.04,2.76,14.69
BH,low,511.4294422,historic,1970,2,9,43.09,0,48.9,3.19,17.15
BH,low,511.4294422,historic,1970,3,9,57.82,0,80.68,3.52,17.52
BH,low,511.4294422,historic,1970,4,9,67.14,0,15.62,2.22,18.69
BH,low,511.4294422,historic,1970,5,9,74.26,0,0,8.64,27.45
BH,low,511.4294422,historic,1970,6,9,37.6,0,34.95,13.32,30.69
BH,low,511.4294422,historic,1970,7,9,135.83,0,0,17.14,36.42
BH,low,511.4294422,historic,1971,12,7,26.5,0,134.47,1.7,11.66
BH,low,511.4294422,historic,1971,1,7,28.49,0,35.18,0.95,12.37
BH,low,511.4294422,historic,1971,2,7,39.93,0,14.76,0.92,13.68
BH,low,511.4294422,historic,1971,3,7,56.81,0,54.25,2.83,16.5
BH,low,511.4294422,historic,1971,4,7,68.81,0,15.25,3.7,19.1
BH,low,511.4294422,historic,1971,5,7,13.01,0,47.94,7.46,22.35
BH,low,511.4294422,historic,1971,6,7,97.07,0,0,11.32,29.88
BH,low,511.4294422,historic,1972,12,7,27.08,0,138.73,-0.3,10.38
BH,low,511.4294422,historic,1972,1,7,26.53,0,26.11,-1.22,9.61
BH,low,511.4294422,historic,1972,2,7,42.65,0,35.95,2.91,16.2
BH,low,511.4294422,historic,1972,3,7,62.23,0,0.42,5.44,21
BH,low,511.4294422,historic,1972,4,7,72.78,0,34.06,4.87,20.71
BH,low,511.4294422,historic,1972,5,7,78.53,0,3.16,9.2,27.52
BH,low,511.4294422,historic,1972,6,7,112.04,0,1.05,13.96,32.04
BH,low,511.4294422,historic,1973,12,7,25.56,0,78.49,-0.58,9.37
BH,low,511.4294422,historic,1973,1,7,26.09,0,129.25,0.78,11.89
BH,low,511.4294422,historic,1973,2,7,37.82,0,181.06,4.4,14.35
BH,low,511.4294422,historic,1973,3,7,38.68,0,127.76,2.83,13.33
BH,low,511.4294422,historic,1973,4,7,71.46,0,11.04,5.44,20.77
BH,low,511.4294422,historic,1973,5,7,76.38,0,0.16,10.51,28.61
BH,low,511.4294422,historic,1973,6,7,100.51,0,0.68,14.08,32.94
BH,low,511.4294422,historic,1974,11,8,39.87,0,106.63,4.22,15.61
BH,low,511.4294422,historic,1974,12,8,27.02,0,122.31,2.49,12.84
BH,low,511.4294422,historic,1974,1,8,27.61,0,91.58,2.29,12.85
BH,low,511.4294422,historic,1974,2,8,40.49,0,28.25,0.96,14.73
BH,low,511.4294422,historic,1974,3,8,49.04,0,129.3,4.56,16.43
BH,low,511.4294422,historic,1974,4,8,38.57,0,74.21,4.55,19.09
BH,low,511.4294422,historic,1974,5,8,73.01,0,0,8.13,26.64
BH,low,511.4294422,historic,1974,6,8,97.22,0,0.03,13.12,32.09
BH,low,511.4294422,historic,1975,11,8,42.93,0,42.28,3.74,17.11
BH,low,511.4294422,historic,1975,12,8,28.39,0,86.15,0.69,11.41
BH,low,511.4294422,historic,1975,1,8,28.28,0,43.86,-0.14,12.37
BH,low,511.4294422,historic,1975,2,8,37.24,0,169.01,2.29,13.17
BH,low,511.4294422,historic,1975,3,8,39.18,0,145.29,2.62,14.47
BH,low,511.4294422,historic,1975,4,8,35.87,0,67.87,2.21,15.62
BH,low,511.4294422,historic,1975,5,8,72.43,0,2.73,7.66,26.15
BH,low,511.4294422,historic,1975,6,8,95.39,0,0.77,11.67,30.93
BH,low,511.4294422,historic,1976,11,8,41.41,0,33.11,2.19,16.42
BH,low,511.4294422,historic,1976,12,8,29.38,0,9.74,0.33,14.13
BH,low,511.4294422,historic,1976,1,8,29.41,0,7.71,-0.99,14.11
BH,low,511.4294422,historic,1976,2,8,42.59,0,92.56,1.87,15.19
BH,low,511.4294422,historic,1976,3,8,57.12,0,39.83,1.79,16.19
BH,low,511.4294422,historic,1976,4,8,70.12,0,40.52,3.72,17.91
BH,low,511.4294422,historic,1976,5,8,79.74,0,0.24,9.43,27.86
BH,low,511.4294422,historic,1976,6,8,112.25,0,0.21,11.87,30.5
BH,low,511.4294422,historic,1977,10,9,84.98,0,23,8.42,25.6
BH,low,511.4294422,historic,1977,11,9,44.77,0,28.73,5.31,18.72
BH,low,511.4294422,historic,1977,12,9,30.07,0,13.51,-0.55,16.07
BH,low,511.4294422,historic,1977,1,9,28.6,0,48.05,0.28,10.6
BH,low,511.4294422,historic,1977,2,9,43.57,0,28.22,2.65,16.88
BH,low,511.4294422,historic,1977,3,9,56.8,0,34.23,1.02,15.06
BH,low,511.4294422,historic,1977,4,9,79.58,0,0.48,6.28,23.94
BH,low,511.4294422,historic,1977,5,9,38.94,0,44.92,6.56,20.8
BH,low,511.4294422,historic,1977,6,9,124.76,0,21.16,13.94,32.26
BH,low,511.4294422,historic,1978,12,7,32.95,0,196.26,4.97,14.76
BH,low,511.4294422,historic,1978,1,7,27.34,0,226.73,4.69,14.13
BH,low,511.4294422,historic,1978,2,7,37.67,0,138.22,4.42,14
BH,low,511.4294422,historic,1978,3,7,43.52,0,183.7,7.57,17.99
BH,low,511.4294422,historic,1978,4,7,38.1,0,175.24,5.64,17.02
BH,low,511.4294422,historic,1978,5,7,73.16,0,0,8.98,26.1
BH,low,511.4294422,historic,1978,6,7,94.45,0,2.66,11.29,30.39
BH,low,511.4294422,historic,1979,10,9,87.16,0,0,9.75,28.34
BH,low,511.4294422,historic,1979,11,9,41.24,0,94.64,3.25,16.09
BH,low,511.4294422,historic,1979,12,9,27.31,0,51.46,-0.72,11
BH,low,511.4294422,historic,1979,1,9,26.21,0,176.73,1.35,11.68
BH,low,511.4294422,historic,1979,2,9,35.88,0,127.6,1.5,13.26
BH,low,511.4294422,historic,1979,3,9,41.03,0,108.35,4.48,16.12
BH,low,511.4294422,historic,1979,4,9,70.38,0,18.57,5.3,19.53
BH,low,511.4294422,historic,1979,5,9,74.77,0,10.47,9.85,27.06
BH,low,511.4294422,historic,1979,6,9,97.65,0,0,12.31,32.49
BH,low,511.4294422,historic,1980,11,8,43.54,0,67.74,4.36,17.41
BH,low,511.4294422,historic,1980,12,8,31.13,0,55.51,2.74,16.11
BH,low,511.4294422,historic,1980,1,8,27.64,0,236.09,4.24,13.89
BH,low,511.4294422,historic,1980,2,8,38.45,0,173.05,3.82,16.09
BH,low,511.4294422,historic,1980,3,8,48.91,0,74.95,3.3,15.68
BH,low,511.4294422,historic,1980,4,8,69.28,0,37.28,6.05,20.39
BH,low,511.4294422,historic,1980,5,8,62.28,0,21.6,8.01,22.89
BH,low,511.4294422,historic,1980,6,8,91.94,0,0,10.5,28.18
BH,low,511.4294422,historic,1981,1,6,33.04,0,126.14,4.16,15.58
BH,low,511.4294422,historic,1981,2,6,43.27,0,39.78,4.14,15.84
BH,low,511.4294422,historic,1981,3,6,53.13,0,115.04,4.41,15.46
BH,low,511.4294422,historic,1981,4,6,73.18,0,32.31,6.75,21.27
BH,low,511.4294422,historic,1981,5,6,74.58,0,11.58,9.72,26.16
BH,low,511.4294422,historic,1981,6,6,102.3,0,0,14.97,34.18
BH,low,511.4294422,historic,1982,11,10,42.92,0,129.57,6.39,18.75
BH,low,511.4294422,historic,1982,12,10,29.19,0,82.41,4.36,14.3
BH,low,511.4294422,historic,1982,1,10,24.33,7.02,202.88,0.4,10.87
BH,low,511.4294422,historic,1982,2,10,37.82,0,108.4,3.43,15.27
BH,low,511.4294422,historic,1982,3,10,39.58,0,201.92,3.79,14.06
BH,low,511.4294422,historic,1982,4,10,38.77,0,108.04,5.91,18.2
BH,low,511.4294422,historic,1982,5,10,73.96,0,1.65,9.74,26.5
BH,low,511.4294422,historic,1982,6,10,33.94,0,14.33,11.59,28.36
BH,low,511.4294422,historic,1982,7,10,79.95,0,2.47,15.67,33.02
BH,low,511.4294422,historic,1982,8,10,177.2,0,3.35,15.78,33.46
BH,low,511.4294422,historic,1983,10,9,79.7,0,74.08,8.28,23.02
BH,low,511.4294422,historic,1983,11,9,37.57,0,189.39,3.8,14.15
BH,low,511.4294422,historic,1983,12,9,26.02,0,149.3,1.76,11.99
BH,low,511.4294422,historic,1983,1,9,25.25,0,190.58,2.69,11.34
BH,low,511.4294422,historic,1983,2,9,37.9,0,183.69,4.45,14.4
BH,low,511.4294422,historic,1983,3,9,40.63,0,240.85,5.22,14.64
BH,low,511.4294422,historic,1983,4,9,37.4,0,90.15,4.74,16.39
BH,low,511.4294422,historic,1983,5,9,12.35,0,23.18,9.08,25.06
BH,low,511.4294422,historic,1983,6,9,95.97,0,0,11.71,29.64
BH,low,511.4294422,historic,1984,12,8,27.44,0,169.43,4,13.03
BH,low,511.4294422,historic,1984,1,8,29.18,0,6.26,1.86,13.32
BH,low,511.4294422,historic,1984,2,8,41.27,0,61.09,2.03,15.06
BH,low,511.4294422,historic,1984,3,8,59.42,0,37.59,4.67,18.65
BH,low,511.4294422,historic,1984,4,8,69.18,0,22.56,4.42,18.95
BH,low,511.4294422,historic,1984,5,8,75.9,0,0.68,10.52,28.18
BH,low,511.4294422,historic,1984,6,8,36.6,0,12.99,11.93,30.38
BH,low,511.4294422,historic,1984,7,8,116.32,0,1.47,17.41,36.12
BH,low,511.4294422,historic,1985,11,8,42.19,0,132.83,4.18,15.47
BH,low,511.4294422,historic,1985,12,8,28.09,0,47.09,1.54,11.05
BH,low,511.4294422,historic,1985,1,8,27.83,0,22.49,0.99,10.46
BH,low,511.4294422,historic,1985,2,8,41.63,0,64.81,2.34,14.99
BH,low,511.4294422,historic,1985,3,8,52.01,0,109.27,2.3,14.8
BH,low,511.4294422,historic,1985,4,8,75.41,0,15.68,7.96,23.25
BH,low,511.4294422,historic,1985,5,8,72.81,0,0.02,8.16,25.52
BH,low,511.4294422,historic,1985,6,8,100.76,0,6.31,14.64,32.59
BH,low,511.4294422,historic,1986,11,8,41.12,0,135.53,3.95,14.65
BH,low,511.4294422,historic,1986,12,8,28.14,0,58.05,2.12,10.57
BH,low,511.4294422,historic,1986,1,8,32.11,0,53.5,5.74,16.24
BH,low,511.4294422,historic,1986,2,8,38.77,0,287.77,5.14,15.05
BH,low,511.4294422,historic,1986,3,8,43.37,0,146.6,6.73,18.6
BH,low,511.4294422,historic,1986,4,8,71.64,0,18.57,6.31,20.12
BH,low,511.4294422,historic,1986,5,8,73.62,0,8.07,9.29,25.91
BH,low,511.4294422,historic,1986,6,8,97.64,0,0,12.91,31.75
BH,low,511.4294422,historic,1987,10,9,84.13,0,0.75,7.42,24.98
BH,low,511.4294422,historic,1987,11,9,46.19,0,2.59,4.73,19.94
BH,low,511.4294422,historic,1987,12,9,31.19,0,25.71,2.43,13.14
BH,low,511.4294422,historic,1987,1,9,30.31,0,58.41,0.5,12.19
BH,low,511.4294422,historic,1987,2,9,43.16,0,109.04,2.95,15.03
BH,low,511.4294422,historic,1987,3,9,56.51,0,101.84,4.03,15.97
BH,low,511.4294422,historic,1987,4,9,77.27,0,10.09,8.51,24.47
BH,low,511.4294422,historic,1987,5,9,76.76,0,14.24,10.14,26.63
BH,low,511.4294422,historic,1987,6,9,104.17,0,1.04,13.4,32.18
BH,low,511.4294422,historic,1988,11,8,43.34,0,32.61,4.26,15.98
BH,low,511.4294422,historic,1988,12,8,29.12,0,80.26,1.15,11.67
BH,low,511.4294422,historic,1988,1,8,29.73,0,77.96,1.83,13.3
BH,low,511.4294422,historic,1988,2,8,43.46,0,14.29,2.9,17.75
BH,low,511.4294422,historic,1988,3,8,60.62,0,43.54,4.34,19.21
BH,low,511.4294422,historic,1988,4,8,42.35,0,91.46,6.64,20.57
BH,low,511.4294422,historic,1988,5,8,40.91,0,17.09,8.04,24.61
BH,low,511.4294422,historic,1988,6,8,103.51,0,1.84,12.15,29.74
BH,low,511.4294422,historic,1989,12,7,27.55,0,97.63,0.83,12.38
BH,low,511.4294422,historic,1989,1,7,27.8,0,27.74,-0.74,11.92
BH,low,511.4294422,historic,1989,2,7,40.11,0,49.83,1.52,12.98
BH,low,511.4294422,historic,1989,3,7,52.06,0,125,5.43,17.17
BH,low,511.4294422,historic,1989,4,7,76.11,0,9.62,8.39,23.75
BH,low,511.4294422,historic,1989,5,7,73.37,0,14.86,9.19,24.95
BH,low,511.4294422,historic,1989,6,7,97.66,0,0.85,12.55,30.86
BH,low,511.4294422,historic,1990,10,9,79.13,0,63.93,7.65,23.91
BH,low,511.4294422,historic,1990,11,9,43.57,0,37.06,4.54,19.38
BH,low,511.4294422,historic,1990,12,9,29.03,0,0.1,0.65,13.8
BH,low,511.4294422,historic,1990,1,9,29.63,0,88.22,1.21,13.36
BH,low,511.4294422,historic,1990,2,9,39.35,0,75.66,0.69,12.54
BH,low,511.4294422,historic,1990,3,9,58.71,0,33.5,4.04,17.78
BH,low,511.4294422,historic,1990,4,9,75.72,0,37.6,8.35,22.65
BH,low,511.4294422,historic,1990,5,9,14.4,0,58.7,8.76,24.62
BH,low,511.4294422,historic,1990,6,9,99.81,0,0,12.45,30.33
BH,low,511.4294422,historic,1991,1,6,31.5,0,19.7,1.19,13.61
BH,low,511.4294422,historic,1991,2,6,47.37,0,46.51,4.26,19.01
BH,low,511.4294422,historic,1991,3,6,46.78,0,318.76,3.26,12.54
BH,low,511.4294422,historic,1991,4,6,69.66,0,7.32,5.25,18.74
BH,low,511.4294422,historic,1991,5,6,70.46,0,3.9,7.44,23.01
BH,low,511.4294422,historic,1991,6,6,94.76,0,4.49,11.08,29.17
BH,low,511.4294422,historic,1992,11,8,44.18,0,22.69,5.55,18.8
BH,low,511.4294422,historic,1992,12,8,30.07,0,53.64,2.29,13.98
BH,low,511.4294422,historic,1992,1,8,28.29,0,42.66,1.22,10.64
BH,low,511.4294422,historic,1992,2,8,40.12,0,174.93,5.26,16.04
BH,low,511.4294422,historic,1992,3,8,52.03,0,76.32,6.21,17.39
BH,low,511.4294422,historic,1992,4,8,75.9,0,2.19,8.31,23.61
BH,low,511.4294422,historic,1992,5,8,78.59,0,0.08,12.73,29.43
BH,low,511.4294422,historic,1992,6,8,99.09,0,1.77,13.56,30.23
BH,low,511.4294422,historic,1993,11,9,44.08,0,10.09,4.69,17.82
BH,low,511.4294422,historic,1993,12,9,27.75,0,161.94,0.73,11.58
BH,low,511.4294422,historic,1993,1,9,25.59,0,288.94,1.82,12.14
BH,low,511.4294422,historic,1993,2,9,37.05,0,140.44,3.29,13.79
BH,low,511.4294422,historic,1993,3,9,46.01,0,89.92,7.11,18.29
BH,low,511.4294422,historic,1993,4,9,71.16,0,12.81,6.01,19.83
BH,low,511.4294422,historic,1993,5,9,73.66,0,12.9,9.38,25.73
BH,low,511.4294422,historic,1993,6,9,35.66,0,33.56,11.17,29.19
BH,low,511.4294422,historic,1993,7,9,127.65,0,0,15.01,32.92
BH,low,511.4294422,recent,1994,12,7,30.27,0,59.2,1.68,12.83
BH,low,511.4294422,recent,1994,1,7,31.3,0,44.36,2.29,14.94
BH,low,511.4294422,recent,1994,2,7,41.44,0,98.73,2.37,13.45
BH,low,511.4294422,recent,1994,3,7,61.37,0,14.04,5.36,19.31
BH,low,511.4294422,recent,1994,4,7,58.58,0,62.97,6.61,21.54
BH,low,511.4294422,recent,1994,5,7,19.1,0,41.28,9.6,24.48
BH,low,511.4294422,recent,1994,6,7,114.79,0,0.55,12.16,32.12
BH,low,511.4294422,recent,1995,11,10,40.59,0,84.15,1.98,13.27
BH,low,511.4294422,recent,1995,12,10,29.01,0,59.33,1.52,11.75
BH,low,511.4294422,recent,1995,1,10,27.87,0,277.87,5.11,12.96
BH,low,511.4294422,recent,1995,2,10,43.87,0,31.44,5.49,16.41
BH,low,511.4294422,recent,1995,3,10,41.08,0,251.79,5.43,15.25
BH,low,511.4294422,recent,1995,4,10,38.9,0,59.45,5.86,18.58
BH,low,511.4294422,recent,1995,5,10,12.3,0,63.63,8.81,22.04
BH,low,511.4294422,recent,1995,6,10,34.42,0,23.46,11.13,28.29
BH,low,511.4294422,recent,1995,7,10,80.92,0,1.42,15.64,33.52
BH,low,511.4294422,recent,1995,8,10,179.5,0,0.21,16.4,34.7
BH,low,511.4294422,recent,1996,1,7,31.33,0,78.92,3.42,13.93
BH,low,511.4294422,recent,1996,2,7,41.49,0,151.33,5.68,15.36
BH,low,511.4294422,recent,1996,3,7,52.96,0,84.41,4.96,17.58
BH,low,511.4294422,recent,1996,4,7,44.69,0,59.18,6.72,21.39
BH,low,511.4294422,recent,1996,5,7,12.89,0,28.6,9.78,25.96
BH,low,511.4294422,recent,1996,6,7,40.02,0,8.86,13.24,31.35
BH,low,511.4294422,recent,1996,7,7,154.74,0,0.11,17.77,36.44
BH,low,511.4294422,recent,1997,11,8,42.09,0,173.5,5.13,17.17
BH,low,511.4294422,recent,1997,12,8,27.66,0,334.71,4.22,13.63
BH,low,511.4294422,recent,1997,1,8,26.15,0,323.27,3.86,12.7
BH,low,511.4294422,recent,1997,2,8,42.13,0,4.31,3.48,15.2
BH,low,511.4294422,recent,1997,3,8,61.81,0,4.24,5.76,20.97
BH,low,511.4294422,recent,1997,4,8,73.6,0,7.64,6.63,22.1
BH,low,511.4294422,recent,1997,5,8,78.57,0,0.42,11.86,29.64
BH,low,511.4294422,recent,1997,6,8,100.01,0,2.37,12.92,30.18
BH,low,511.4294422,recent,1998,12,8,29.37,0,57.92,1.63,12.23
BH,low,511.4294422,recent,1998,1,8,27.88,0,245.9,3.68,13.91
BH,low,511.4294422,recent,1998,2,8,36.27,0,259.84,3.69,11.91
BH,low,511.4294422,recent,1998,3,8,41.53,0,128.4,5.29,16.27
BH,low,511.4294422,recent,1998,4,8,38.07,0,81.66,5.46,17.13
BH,low,511.4294422,recent,1998,5,8,11.37,0,62.64,6.76,19.26
BH,low,511.4294422,recent,1998,6,8,32.62,0,37,11.85,26.3
BH,low,511.4294422,recent,1998,7,8,122.88,0,0.22,16.62,34.48
BH,low,511.4294422,recent,1999,12,7,28.95,0,54.81,-0.58,12.48
BH,low,511.4294422,recent,1999,1,7,30.43,0,115.64,1.93,13.5
BH,low,511.4294422,recent,1999,2,7,39.85,0,124.44,2.08,13.63
BH,low,511.4294422,recent,1999,3,7,56.16,0,40.43,3.03,15.56
BH,low,511.4294422,recent,1999,4,7,50.49,0,64.61,4.36,17.87
BH,low,511.4294422,recent,1999,5,7,71.76,0,7.94,8.03,24.82
BH,low,511.4294422,recent,1999,6,7,94.28,0,5.89,11.84,29.63
BH,low,511.4294422,recent,2000,12,8,30.95,0,1.83,1.17,15.69
BH,low,511.4294422,recent,2000,1,8,30.3,0,184.91,3.42,14.11
BH,low,511.4294422,recent,2000,2,8,38.48,0,270.76,4.3,15.12
BH,low,511.4294422,recent,2000,3,8,57.54,0,58.63,4.47,16.98
BH,low,511.4294422,recent,2000,4,8,57.15,0,60.86,7.04,22.33
BH,low,511.4294422,recent,2000,5,8,37.67,0,21.6,9.94,26.49
BH,low,511.4294422,recent,2000,6,8,37.62,0,18.3,14.32,32.93
BH,low,511.4294422,recent,2000,7,8,133.8,0,0,14.28,33.14
BH,low,511.4294422,recent,2001,11,8,40.31,0,10.74,1.91,15.05
BH,low,511.4294422,recent,2001,12,8,31.52,0,10.85,3.02,16.38
BH,low,511.4294422,recent,2001,1,8,30.04,0,113.97,0.75,13.71
BH,low,511.4294422,recent,2001,2,8,40.18,0,99.9,2.13,12.55
BH,low,511.4294422,recent,2001,3,8,60.09,0,61.65,5.4,18.52
BH,low,511.4294422,recent,2001,4,8,44,0,71.79,4.55,18.51
BH,low,511.4294422,recent,2001,5,8,79.36,0,1.3,12.78,31.48
BH,low,511.4294422,recent,2001,6,8,99.94,0,0,14.26,33.26
BH,low,511.4294422,recent,2002,12,7,27.28,0,161.51,2.82,12.14
BH,low,511.4294422,recent,2002,1,7,28.64,0,48.34,1.4,12.39
BH,low,511.4294422,recent,2002,2,7,42.85,0,43.83,3.22,16.74
BH,low,511.4294422,recent,2002,3,7,57.26,0,58.52,3.56,16.7
BH,low,511.4294422,recent,2002,4,7,72.9,0,19.64,6.85,21.2
BH,low,511.4294422,recent,2002,5,7,56.79,0,24.52,8.61,26.06
BH,low,511.4294422,recent,2002,6,7,98.33,0,1.61,13.17,32.47
BH,low,511.4294422,recent,2003,12,7,28.34,0,140.75,2.94,13.92
BH,low,511.4294422,recent,2003,1,7,31.53,0,26.76,4.11,16.65
BH,low,511.4294422,recent,2003,2,7,41.46,0,53,2.27,14.96
BH,low,511.4294422,recent,2003,3,7,58.67,0,43.28,4.01,17.99
BH,low,511.4294422,recent,2003,4,7,37.75,0,90.11,4.6,16.79
BH,low,511.4294422,recent,2003,5,7,12.49,0,43.99,9.02,25.3
BH,low,511.4294422,recent,2003,6,7,98.85,0,0.88,13.8,32.42
BH,low,511.4294422,recent,2004,12,7,31.69,0,137.95,3.34,13.76
BH,low,511.4294422,recent,2004,1,7,29.42,0,52.58,1.99,12.68
BH,low,511.4294422,recent,2004,2,7,40.24,0,121.28,2.69,13.37
BH,low,511.4294422,recent,2004,3,7,63.63,0,33.27,7.1,22.14
BH,low,511.4294422,recent,2004,4,7,74.85,0,4.37,6.87,23.45
BH,low,511.4294422,recent,2004,5,7,75.73,0,5.12,9.34,27.44
BH,low,511.4294422,recent,2004,6,7,101.97,0,0.97,13.35,32.06
BH,low,511.4294422,recent,2005,11,8,39.23,0,50.33,3.81,15.59
BH,low,511.4294422,recent,2005,12,8,27.89,0,110.98,2.02,13.89
BH,low,511.4294422,recent,2005,1,8,25.91,0,229.74,3.18,12.54
BH,low,511.4294422,recent,2005,2,8,40.31,0,91.86,4.65,15.78
BH,low,511.4294422,recent,2005,3,8,42.17,0,156.24,5.32,17.57
BH,low,511.4294422,recent,2005,4,8,69.72,0,26.42,4.64,19.38
BH,low,511.4294422,recent,2005,5,8,12.75,0,67.11,9.42,24.69
BH,low,511.4294422,recent,2005,6,8,93.4,0,0.87,10.87,28.88
BH,low,511.4294422,recent,2006,1,6,26.75,0,155.06,2.52,14.26
BH,low,511.4294422,recent,2006,2,6,42.75,0,33.85,2.6,17.15
BH,low,511.4294422,recent,2006,3,6,40,0,150.69,1.84,12.88
BH,low,511.4294422,recent,2006,4,6,38.53,0,163.88,6.62,16.95
BH,low,511.4294422,recent,2006,5,6,27.2,0,18.8,10.7,26.62
BH,low,511.4294422,recent,2006,6,6,100.26,0,0.55,14.69,32.74
BH,low,511.4294422,recent,2007,12,7,30.54,0,80.5,1.59,13.85
BH,low,511.4294422,recent,2007,1,7,28.67,0,24.75,-1.05,13.18
BH,low,511.4294422,recent,2007,2,7,41.63,0,124.79,3.34,14.48
BH,low,511.4294422,recent,2007,3,7,61.65,0,30.63,5.5,20.29
BH,low,511.4294422,recent,2007,4,7,73.15,0,23.18,6.3,21.07
BH,low,511.4294422,recent,2007,5,7,77.45,0,8.57,10.16,27.6
BH,low,511.4294422,recent,2007,6,7,105.02,0,0,13.68,31.82
BH,low,511.4294422,recent,2008,1,6,26.84,0,191.61,1.93,11.56
BH,low,511.4294422,recent,2008,2,6,36.69,0,113.99,2.24,14.01
BH,low,511.4294422,recent,2008,3,6,58.65,0,2.91,4.09,18.06
BH,low,511.4294422,recent,2008,4,6,71.18,0,0.4,4.49,21.18
BH,low,511.4294422,recent,2008,5,6,74.63,0,13.42,9.87,25.58
BH,low,511.4294422,recent,2008,6,6,101.12,0,0,14.05,32.22
BH,low,511.4294422,recent,2009,12,8,29.2,0,78.63,1.46,11.93
BH,low,511.4294422,recent,2009,1,8,30.46,0,85.1,2.57,14.4
BH,low,511.4294422,recent,2009,2,8,40.43,0,127.94,3.56,13.74
BH,low,511.4294422,recent,2009,3,8,57.54,0,53.53,4.03,16.55
BH,low,511.4294422,recent,2009,4,8,71.16,0,15.07,5.35,20.45
BH,low,511.4294422,recent,2009,5,8,46.27,0,27.5,12.03,28.62
BH,low,511.4294422,recent,2009,6,8,37.74,0,13.7,12.37,28.97
